code,source,window_months,n_with_code,prev_initiators,prev_non_initiators,odds_ratio,fisher_p,mw_p,fisher_p_adj,description,category
Disopyramide Phosphate,rx,3,495,0.9304347826086956,0.5932721712538226,9.169458762886597,2.191959000276181e-14,4.405080790862477e-12,2.0670173372604387e-11,Disopyramide Phosphate,medication
Disopyramide Phosphate,rx,6,552,0.9304347826086956,0.6804281345565749,6.281741573033708,2.1011236795978506e-09,5.004998291454771e-07,1.9813596298607733e-06,Disopyramide Phosphate,medication
Disopyramide Phosphate,rx,12,616,0.9391304347826087,0.7767584097859327,4.434195725534308,1.296163140201611e-05,0.02603053414237191,0.012222818412101192,Disopyramide Phosphate,medication
Metoprolol Succinate,rx,3,82,0.008695652173913044,0.12385321100917432,0.06205328135152696,2.3509772417995767e-05,0.00023234029925893557,0.022169715390170007,Metoprolol Succinate,medication
I421,dx,3,678,0.9826086956521739,0.863914373088685,8.9,5.7275980321964213e-05,0.0018385997705923356,0.054011249443612255,Obstructive Hypertrophic Cardiomyopathy,diagnosis
Metoprolol Succinate,rx,6,105,0.043478260869565216,0.1529051987767584,0.25181818181818183,0.0009998419654485805,0.001202320215524391,0.9428509734180114,Metoprolol Succinate,medication
I421,dx,6,718,0.991304347826087,0.9235474006116208,9.437086092715232,0.0036734961316580673,0.3506381316321522,1.0,Obstructive Hypertrophic Cardiomyopathy,diagnosis
Glipizide,rx,12,32,0.09565217391304348,0.03211009174311927,3.1881868131868134,0.004205265499970923,0.00179609088883681,1.0,Glipizide,medication
Verapamil Hydrochloride,rx,12,374,0.6086956521739131,0.4648318042813456,1.79093567251462,0.004634755764487044,0.025077707245263925,1.0,Verapamil Hydrochloride,medication
85730,px,3,16,0.06086956521739131,0.013761467889908258,4.645061728395062,0.004990433408754792,0.0011106975113807623,1.0,Thromboplastin Time Partial,lab test
83735,px,6,85,0.19130434782608696,0.0963302752293578,2.2191500256016385,0.005455986453966196,0.002957789658125667,1.0,Assay Of Magnesium,lab test
A7035,px,12,61,0.14782608695652175,0.0672782874617737,2.404916512059369,0.007524887056833022,0.0030960622388730382,1.0,Pos Airway Press Headgear,supply/service
