method,pool,cv_for_C,C,n_bootstrap,sample_frac,threshold,n_selected,selected,refined_covered,refined_missing
stability,EXPANDED_36,random_5,0.12743,200.0,0.7,0.5,11,"ccb_ever, bb_current, ccb_current, strain_count_12m, cyp_inhibitor_active, diso_ccb_combo_current, bnp_test_3m, bnp_test_6m, mri_ever, months_since_diso, er_or_inpatient_12m",5,n_hcm_meds
stability,EXPANDED_36,random_5,0.12743,200.0,0.7,0.6,11,"ccb_ever, bb_current, ccb_current, strain_count_12m, cyp_inhibitor_active, diso_ccb_combo_current, bnp_test_3m, bnp_test_6m, mri_ever, months_since_diso, er_or_inpatient_12m",5,n_hcm_meds
stability,EXPANDED_36,random_5,0.12743,200.0,0.7,0.7,6,"ccb_ever, bb_current, ccb_current, strain_count_12m, cyp_inhibitor_active, diso_ccb_combo_current",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,EXPANDED_36,random_5,0.12743,200.0,0.7,0.8,6,"ccb_ever, bb_current, ccb_current, strain_count_12m, cyp_inhibitor_active, diso_ccb_combo_current",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,EXPANDED_36,random_10,0.12743,200.0,0.7,0.5,11,"ccb_ever, bb_current, ccb_current, strain_count_12m, cyp_inhibitor_active, diso_ccb_combo_current, bnp_test_3m, bnp_test_6m, mri_ever, months_since_diso, er_or_inpatient_12m",5,n_hcm_meds
stability,EXPANDED_36,random_10,0.12743,200.0,0.7,0.6,11,"ccb_ever, bb_current, ccb_current, strain_count_12m, cyp_inhibitor_active, diso_ccb_combo_current, bnp_test_3m, bnp_test_6m, mri_ever, months_since_diso, er_or_inpatient_12m",5,n_hcm_meds
stability,EXPANDED_36,random_10,0.12743,200.0,0.7,0.7,6,"ccb_ever, bb_current, ccb_current, strain_count_12m, cyp_inhibitor_active, diso_ccb_combo_current",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,EXPANDED_36,random_10,0.12743,200.0,0.7,0.8,6,"ccb_ever, bb_current, ccb_current, strain_count_12m, cyp_inhibitor_active, diso_ccb_combo_current",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,EXPANDED_36,group_patient,0.20691,200.0,0.7,0.5,14,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current, er_or_inpatient_12m, mri_ever, af_flag, bnp_test_3m, bnp_test_6m, months_since_diso, tte_count_12m, stress_count_3m",5,n_hcm_meds
stability,EXPANDED_36,group_patient,0.20691,200.0,0.7,0.6,13,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current, er_or_inpatient_12m, mri_ever, af_flag, bnp_test_3m, bnp_test_6m, months_since_diso, tte_count_12m",5,n_hcm_meds
stability,EXPANDED_36,group_patient,0.20691,200.0,0.7,0.7,11,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current, er_or_inpatient_12m, mri_ever, af_flag, bnp_test_3m, bnp_test_6m",4,"months_since_diso, n_hcm_meds"
stability,EXPANDED_36,group_patient,0.20691,200.0,0.7,0.8,6,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,EXPANDED_36,time_5,0.20691,200.0,0.7,0.5,14,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current, er_or_inpatient_12m, mri_ever, af_flag, bnp_test_3m, bnp_test_6m, months_since_diso, tte_count_12m, stress_count_3m",5,n_hcm_meds
stability,EXPANDED_36,time_5,0.20691,200.0,0.7,0.6,13,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current, er_or_inpatient_12m, mri_ever, af_flag, bnp_test_3m, bnp_test_6m, months_since_diso, tte_count_12m",5,n_hcm_meds
stability,EXPANDED_36,time_5,0.20691,200.0,0.7,0.7,11,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current, er_or_inpatient_12m, mri_ever, af_flag, bnp_test_3m, bnp_test_6m",4,"months_since_diso, n_hcm_meds"
stability,EXPANDED_36,time_5,0.20691,200.0,0.7,0.8,6,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,EXPANDED_36,manual,0.01,200.0,0.7,0.5,0,,0,"bb_current, ccb_current, ccb_ever, months_since_diso, mri_ever, n_hcm_meds"
stability,EXPANDED_36,manual,0.01,200.0,0.7,0.6,0,,0,"bb_current, ccb_current, ccb_ever, months_since_diso, mri_ever, n_hcm_meds"
stability,EXPANDED_36,manual,0.01,200.0,0.7,0.7,0,,0,"bb_current, ccb_current, ccb_ever, months_since_diso, mri_ever, n_hcm_meds"
stability,EXPANDED_36,manual,0.01,200.0,0.7,0.8,0,,0,"bb_current, ccb_current, ccb_ever, months_since_diso, mri_ever, n_hcm_meds"
stability,EXPANDED_36,manual,0.05,200.0,0.7,0.5,2,"ccb_ever, bb_current",2,"ccb_current, months_since_diso, mri_ever, n_hcm_meds"
stability,EXPANDED_36,manual,0.05,200.0,0.7,0.6,2,"ccb_ever, bb_current",2,"ccb_current, months_since_diso, mri_ever, n_hcm_meds"
stability,EXPANDED_36,manual,0.05,200.0,0.7,0.7,1,ccb_ever,1,"bb_current, ccb_current, months_since_diso, mri_ever, n_hcm_meds"
stability,EXPANDED_36,manual,0.05,200.0,0.7,0.8,1,ccb_ever,1,"bb_current, ccb_current, months_since_diso, mri_ever, n_hcm_meds"
stability,EXPANDED_36,manual,0.1,200.0,0.7,0.5,9,"ccb_ever, bb_current, strain_count_12m, ccb_current, diso_ccb_combo_current, bnp_test_6m, bnp_test_3m, months_since_diso, mri_ever",5,n_hcm_meds
stability,EXPANDED_36,manual,0.1,200.0,0.7,0.6,7,"ccb_ever, bb_current, strain_count_12m, ccb_current, diso_ccb_combo_current, bnp_test_6m, bnp_test_3m",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,EXPANDED_36,manual,0.1,200.0,0.7,0.7,4,"ccb_ever, bb_current, strain_count_12m, ccb_current",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,EXPANDED_36,manual,0.1,200.0,0.7,0.8,4,"ccb_ever, bb_current, strain_count_12m, ccb_current",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,EXPANDED_36,manual,0.5,200.0,0.7,0.5,32,"diso_ccb_combo_current, ccb_ever, bb_current, ccb_current, cyp_inhibitor_active, strain_count_12m, tte_count_12m, af_flag, mri_ever, er_or_inpatient_12m, bnp_test_3m, bnp_test_6m, bb_ever, stress_count_3m, med_switches_12m, sex_F, diso_mpr_12m, stress_count_6m, age, tte_count_3m, months_since_diso, mitral_flag, echo_acceleration, bnp_test_12m, hf_flag, symptom_burden_12m, stress_count_12m, high_em_count_6m, high_em_count_12m, high_em_count_3m, symptom_burden_6m, symptom_burden_3m",5,n_hcm_meds
stability,EXPANDED_36,manual,0.5,200.0,0.7,0.6,29,"diso_ccb_combo_current, ccb_ever, bb_current, ccb_current, cyp_inhibitor_active, strain_count_12m, tte_count_12m, af_flag, mri_ever, er_or_inpatient_12m, bnp_test_3m, bnp_test_6m, bb_ever, stress_count_3m, med_switches_12m, sex_F, diso_mpr_12m, stress_count_6m, age, tte_count_3m, months_since_diso, mitral_flag, echo_acceleration, bnp_test_12m, hf_flag, symptom_burden_12m, stress_count_12m, high_em_count_6m, high_em_count_12m",5,n_hcm_meds
stability,EXPANDED_36,manual,0.5,200.0,0.7,0.7,23,"diso_ccb_combo_current, ccb_ever, bb_current, ccb_current, cyp_inhibitor_active, strain_count_12m, tte_count_12m, af_flag, mri_ever, er_or_inpatient_12m, bnp_test_3m, bnp_test_6m, bb_ever, stress_count_3m, med_switches_12m, sex_F, diso_mpr_12m, stress_count_6m, age, tte_count_3m, months_since_diso, mitral_flag, echo_acceleration",5,n_hcm_meds
stability,EXPANDED_36,manual,0.5,200.0,0.7,0.8,12,"diso_ccb_combo_current, ccb_ever, bb_current, ccb_current, cyp_inhibitor_active, strain_count_12m, tte_count_12m, af_flag, mri_ever, er_or_inpatient_12m, bnp_test_3m, bnp_test_6m",4,"months_since_diso, n_hcm_meds"
stability,EXPANDED_36,manual,1.0,200.0,0.7,0.5,35,"tte_count_12m, ccb_ever, diso_ccb_combo_current, strain_count_12m, ccb_current, bb_current, cyp_inhibitor_active, af_flag, er_or_inpatient_12m, mri_ever, sex_F, bnp_test_3m, bnp_test_6m, diso_mpr_12m, med_switches_12m, bb_ever, stress_count_6m, age, bnp_test_12m, hf_flag, stress_count_3m, tte_count_3m, mitral_flag, months_since_diso, high_em_count_12m, stress_count_12m, echo_acceleration, symptom_burden_6m, high_em_count_3m, high_em_count_6m, symptom_burden_12m, symptom_burden_3m, months_since_last_med_change, n_hcm_meds, tte_count_6m",6,
stability,EXPANDED_36,manual,1.0,200.0,0.7,0.6,34,"tte_count_12m, ccb_ever, diso_ccb_combo_current, strain_count_12m, ccb_current, bb_current, cyp_inhibitor_active, af_flag, er_or_inpatient_12m, mri_ever, sex_F, bnp_test_3m, bnp_test_6m, diso_mpr_12m, med_switches_12m, bb_ever, stress_count_6m, age, bnp_test_12m, hf_flag, stress_count_3m, tte_count_3m, mitral_flag, months_since_diso, high_em_count_12m, stress_count_12m, echo_acceleration, symptom_burden_6m, high_em_count_3m, high_em_count_6m, symptom_burden_12m, symptom_burden_3m, months_since_last_med_change, n_hcm_meds",6,
stability,EXPANDED_36,manual,1.0,200.0,0.7,0.7,32,"tte_count_12m, ccb_ever, diso_ccb_combo_current, strain_count_12m, ccb_current, bb_current, cyp_inhibitor_active, af_flag, er_or_inpatient_12m, mri_ever, sex_F, bnp_test_3m, bnp_test_6m, diso_mpr_12m, med_switches_12m, bb_ever, stress_count_6m, age, bnp_test_12m, hf_flag, stress_count_3m, tte_count_3m, mitral_flag, months_since_diso, high_em_count_12m, stress_count_12m, echo_acceleration, symptom_burden_6m, high_em_count_3m, high_em_count_6m, symptom_burden_12m, symptom_burden_3m",5,n_hcm_meds
