method,pool,cv_for_C,C_source,C,feature,selection_prob
stability,EXPANDED_36,random_5,auto,0.12743,ccb_ever,1.0
stability,EXPANDED_36,random_5,auto,0.12743,bb_current,1.0
stability,EXPANDED_36,random_5,auto,0.12743,ccb_current,0.99
stability,EXPANDED_36,random_5,auto,0.12743,strain_count_12m,0.98
stability,EXPANDED_36,random_5,auto,0.12743,cyp_inhibitor_active,0.905
stability,EXPANDED_36,random_5,auto,0.12743,diso_ccb_combo_current,0.86
stability,EXPANDED_36,random_5,auto,0.12743,bnp_test_3m,0.68
stability,EXPANDED_36,random_5,auto,0.12743,bnp_test_6m,0.67
stability,EXPANDED_36,random_5,auto,0.12743,mri_ever,0.66
stability,EXPANDED_36,random_5,auto,0.12743,months_since_diso,0.64
stability,EXPANDED_36,random_5,auto,0.12743,er_or_inpatient_12m,0.605
stability,EXPANDED_36,random_5,auto,0.12743,stress_count_3m,0.49
stability,EXPANDED_36,random_5,auto,0.12743,af_flag,0.445
stability,EXPANDED_36,random_5,auto,0.12743,stress_count_6m,0.3
stability,EXPANDED_36,random_5,auto,0.12743,symptom_burden_12m,0.265
stability,EXPANDED_36,random_5,auto,0.12743,high_em_count_6m,0.245
stability,EXPANDED_36,random_5,auto,0.12743,months_since_last_med_change,0.23
stability,EXPANDED_36,random_5,auto,0.12743,tte_count_3m,0.225
stability,EXPANDED_36,random_5,auto,0.12743,n_hcm_meds,0.17
stability,EXPANDED_36,random_5,auto,0.12743,echo_acceleration,0.165
stability,EXPANDED_36,random_5,auto,0.12743,symptom_burden_6m,0.165
stability,EXPANDED_36,random_5,auto,0.12743,age,0.165
stability,EXPANDED_36,random_5,auto,0.12743,tte_count_12m,0.155
stability,EXPANDED_36,random_5,auto,0.12743,sex_F,0.15
stability,EXPANDED_36,random_5,auto,0.12743,high_em_count_12m,0.115
stability,EXPANDED_36,random_5,auto,0.12743,mitral_flag,0.09
stability,EXPANDED_36,random_5,auto,0.12743,hf_flag,0.07
stability,EXPANDED_36,random_5,auto,0.12743,high_em_count_3m,0.06
stability,EXPANDED_36,random_5,auto,0.12743,diso_mpr_12m,0.05
stability,EXPANDED_36,random_5,auto,0.12743,bnp_test_12m,0.035
stability,EXPANDED_36,random_5,auto,0.12743,stress_count_12m,0.035
stability,EXPANDED_36,random_5,auto,0.12743,tte_count_6m,0.035
stability,EXPANDED_36,random_5,auto,0.12743,bb_ever,0.035
stability,EXPANDED_36,random_5,auto,0.12743,symptom_burden_3m,0.03
stability,EXPANDED_36,random_5,auto,0.12743,med_switches_12m,0.025
stability,EXPANDED_36,random_5,auto,0.12743,dual_bb_ccb_current,0.0
stability,EXPANDED_36,random_10,auto,0.12743,ccb_ever,1.0
stability,EXPANDED_36,random_10,auto,0.12743,bb_current,1.0
stability,EXPANDED_36,random_10,auto,0.12743,ccb_current,0.99
stability,EXPANDED_36,random_10,auto,0.12743,strain_count_12m,0.98
stability,EXPANDED_36,random_10,auto,0.12743,cyp_inhibitor_active,0.905
stability,EXPANDED_36,random_10,auto,0.12743,diso_ccb_combo_current,0.86
stability,EXPANDED_36,random_10,auto,0.12743,bnp_test_3m,0.68
stability,EXPANDED_36,random_10,auto,0.12743,bnp_test_6m,0.67
stability,EXPANDED_36,random_10,auto,0.12743,mri_ever,0.66
stability,EXPANDED_36,random_10,auto,0.12743,months_since_diso,0.64
stability,EXPANDED_36,random_10,auto,0.12743,er_or_inpatient_12m,0.605
stability,EXPANDED_36,random_10,auto,0.12743,stress_count_3m,0.49
stability,EXPANDED_36,random_10,auto,0.12743,af_flag,0.445
stability,EXPANDED_36,random_10,auto,0.12743,stress_count_6m,0.3
stability,EXPANDED_36,random_10,auto,0.12743,symptom_burden_12m,0.265
stability,EXPANDED_36,random_10,auto,0.12743,high_em_count_6m,0.245
stability,EXPANDED_36,random_10,auto,0.12743,months_since_last_med_change,0.23
stability,EXPANDED_36,random_10,auto,0.12743,tte_count_3m,0.225
stability,EXPANDED_36,random_10,auto,0.12743,n_hcm_meds,0.17
stability,EXPANDED_36,random_10,auto,0.12743,echo_acceleration,0.165
stability,EXPANDED_36,random_10,auto,0.12743,symptom_burden_6m,0.165
stability,EXPANDED_36,random_10,auto,0.12743,age,0.165
stability,EXPANDED_36,random_10,auto,0.12743,tte_count_12m,0.155
stability,EXPANDED_36,random_10,auto,0.12743,sex_F,0.15
stability,EXPANDED_36,random_10,auto,0.12743,high_em_count_12m,0.115
stability,EXPANDED_36,random_10,auto,0.12743,mitral_flag,0.09
stability,EXPANDED_36,random_10,auto,0.12743,hf_flag,0.07
stability,EXPANDED_36,random_10,auto,0.12743,high_em_count_3m,0.06
